,시군구명,읍면동명,과거대비인구변화...,최근인구변화.연속감소년수.,과거대비사업체변화...,최근사업체변화.연속감소년수.,노후건축물비율...,부합부문.개수.,X2개.부문.이상.부합여부
241,서울특별시 강서구,염창동,-0.63,4,1.1,1,50.37,2,1
242,서울특별시 강서구,등촌제1동,-50.71,2,7.34,1,57.14,2,1
243,서울특별시 강서구,등촌제2동,-8.81,4,1.89,1,57.3,2,1
244,서울특별시 강서구,등촌제3동,-13.49,5,7.38,1,54.52,2,1
245,서울특별시 강서구,화곡본동,-9.78,2,-1.51,1,50.72,1,0
246,서울특별시 강서구,화곡제2동,-49.29,4,-4.63,2,60.73,2,1
247,서울특별시 강서구,화곡제3동,-8.19,5,-1.55,2,53.95,2,1
248,서울특별시 강서구,화곡제4동,-9.09,1,-6.09,2,65.49,2,1
249,서울특별시 강서구,화곡제6동,2.41,2,-0.83,1,62.15,1,0
250,서울특별시 강서구,화곡제8동,-4.44,3,-4.07,1,54,2,1
251,서울특별시 강서구,가양제1동,10.8,1,20.3,2,54.47,1,0
252,서울특별시 강서구,가양제2동,-30.84,5,-2.06,1,67.8,2,1
253,서울특별시 강서구,가양제3동,-23.39,5,3.68,0,66.95,2,1
254,서울특별시 강서구,발산제1동,21.78,1,1.66,1,38.11,0,0
255,서울특별시 강서구,공항동,-26.12,4,-5.27,2,59.2,3,1
256,서울특별시 강서구,방화제1동,15.57,2,4.55,1,63.65,1,0
257,서울특별시 강서구,방화제2동,-22.73,5,-8.32,1,74.22,3,1
258,서울특별시 강서구,방화제3동,-20.59,5,4.24,3,62.16,3,1
259,서울특별시 강서구,화곡제1동,1.89,1,-2.6,2,60.32,1,0
260,서울특별시 강서구,우장산동,17.2,2,-3.92,1,51,1,0
261,서울특별시 구로구,신도림동,1.54,2,3.05,0,75.08,1,0
262,서울특별시 구로구,구로제1동,-33.49,5,-0.19,1,62.14,2,1
263,서울특별시 구로구,구로제3동,-23.53,4,7.99,0,55.88,2,1
264,서울특별시 구로구,구로제4동,-7.16,5,2.64,0,61.07,2,1
