,시군구명,읍면동명,과거대비인구변화...,최근인구변화.연속감소년수.,과거대비사업체변화...,최근사업체변화.연속감소년수.,노후건축물비율...,부합부문.개수.,X2개.부문.이상.부합여부
345,경기도 군포시,광정동,-8.44,5,0.3,1,83.05,2,1
346,경기도 군포시,대야동,3.24,1,0.25,2,36.61,0,0
347,경기도 의왕시,고천동,-14.22,4,3.6,0,62.55,2,1
348,경기도 의왕시,부곡동,-9.98,4,2.76,0,53.93,2,1
349,경기도 의왕시,오전동,-8.08,5,0.2,0,60,2,1
350,경기도 의왕시,내손1동,-24.27,3,0,1,14.46,1,0
351,경기도 의왕시,내손2동,15.64,3,0.11,0,83.87,2,1
352,경기도 의왕시,청계동,84.6,0,34.54,0,20.69,0,0
353,경기도 하남시,천현동,0.01,1,4.61,0,22.38,0,0
354,경기도 하남시,신장1동,-28.44,5,-6.52,3,87.4,3,1
355,경기도 하남시,신장2동,-2.4,3,2.05,1,65.02,2,1
356,경기도 하남시,덕풍1동,-3.88,4,-11.43,2,76.28,3,1
357,경기도 하남시,덕풍2동,-4.13,5,-2.52,2,85.27,2,1
358,경기도 하남시,덕풍3동,3.83,1,6.48,0,45.48,0,0
359,경기도 하남시,감북동,-55.28,3,1.71,0,25.87,1,0
360,경기도 하남시,춘궁동,-19.16,2,29.49,0,14.16,0,0
361,경기도 하남시,초이동,-52.91,2,17.91,0,15.38,1,0
362,경기도 하남시,풍산동,-92.41,3,-55.64,4,21.8,2,1
363,경기도 하남시,미사1동,0,0,-50.86,5,21.72,1,0
364,경기도 하남시,미사2동,0,0,-81.78,4,40,1,0
365,경기도 용인시,포곡읍,8.87,0,10.49,0,32.86,0,0
366,경기도 용인시,모현면,30.69,0,14.68,0,29.29,0,0
367,경기도 용인시,남사면,-19.57,3,18.09,0,28.81,1,0
368,경기도 용인시,이동면,8.5,3,17.45,2,32.98,1,0
369,경기도 용인시,원삼면,-6.39,1,19.01,1,33.45,0,0
370,경기도 용인시,백암면,-1.36,5,8.68,0,39.11,1,0
371,경기도 용인시,양지면,34.53,0,12.28,1,27.73,0,0
372,경기도 용인시,중앙동,4.91,3,-1.37,1,56.45,2,1
373,경기도 용인시,역삼동,12.62,1,3.47,2,44.87,0,0
374,경기도 용인시,유림동,-0.44,1,3.46,0,40.14,0,0
375,경기도 용인시,동부동,6.55,1,2.93,1,38.34,0,0
