name,population,population_year,business,business_year,old_building,pass
서울특별시 강서구 우장산동,17.19508636,2,-3.918722787,1,50.997151,1
서울특별시 구로구 신도림동,1.538891216,2,3.046744574,0,75.07568113,1
서울특별시 구로구 구로제1동,-33.48527027,5,-0.186915888,1,62.14285714,2
서울특별시 구로구 구로제3동,-23.53479583,4,7.989323843,0,55.8792924,2
서울특별시 구로구 구로제4동,-7.159577044,5,2.637244349,0,61.06666667,2
서울특별시 구로구 구로제5동,-5.157356537,2,1.251526252,0,75.72413793,1
서울특별시 구로구 고척제1동,-11.05663506,2,-0.99913119,1,73.7704918,1
서울특별시 구로구 고척제2동,-18.08429551,5,-10.16419077,2,80.6811837,3
서울특별시 구로구 개봉제2동,-3.109492909,3,-2.027027027,1,55.37634409,2
서울특별시 구로구 개봉제3동,-12.35857983,2,-2.658227848,2,66.1097852,1
서울특별시 구로구 오류제1동,-40.85848732,1,0.308008214,1,70.21097046,2
서울특별시 구로구 오류제2동,32.85205154,1,11.93887297,0,67.18506998,1
서울특별시 구로구 수궁동,3.865258588,2,9.87654321,1,57.227388,1
서울특별시 구로구 가리봉동,-19.47171016,5,-1.810865191,1,85.98130841,2
서울특별시 구로구 구로제2동,-11.93028212,5,0.701092086,1,78.22208551,2
서울특별시 구로구 개봉제1동,-6.410042307,2,-0.827015851,1,80.63462436,1
서울특별시 금천구 가산동,-16.39534884,2,6.304743734,0,65.8489348,1
서울특별시 금천구 독산제1동,-8.62214964,3,13.21897074,1,68.82859034,2
서울특별시 금천구 독산제2동,-37.48616884,5,-8.941605839,2,80.02108593,3
서울특별시 금천구 독산제3동,-6.566487514,5,-2.119270577,2,76.59574468,2
서울특별시 금천구 독산제4동,-35.2126044,5,-2.699784017,1,76.33175995,2
서울특별시 금천구 시흥제1동,17.59953242,2,-3.911806543,2,79.24297924,1
서울특별시 금천구 시흥제2동,-10.80123443,5,-5.607476636,2,47.07520891,2
